"Position","Name","Appearance","MinutesPlayed","Height","Weight","Rating","TotalShots","OutsideBoxShot","SixYardShot","PenaltyYardShot","TotalGoal","OutsideBoxGoal","SixYardGoal","PenaltyYardGoal","TotalDribble","DribbleLost","DribbleWon","Turnovers","Dispossessed","TotalAerialDuel","AerialWon","AerialLost","TotalTackleWon","TotalTackleAttempt","DribbledPast","TotalInterception","FoulAgainst","FoulCommitted","YellowCard","RedCard","Offside","TotalClearance","ShotsBlocked","CrossesBlocked","PassesBlocked","TotalSaves","SixYardSave","PenaltyAreaSave","OutsideBoxSave","TotalPass","AccLongBall","InaccLongBall","AccShortPass","InaccShortPass","TotalKeyPass","LongKeyPass","ShortKeyPass","TotalAssist","CrossAssist","CornerAssist","ThroughBallAssist","FKAssist","ThrowInAssist","OtherAssist","TotalAccCrosses","TotalAccThroughBall","OwnGoal"
"CentreBack",NA,23,2011,188,84,6.9,7,0,3,4,0,0,0,0,6,1,5,8,7,62,41,21,32,47,15,66,6,36,8,0,0,120,7,3,11,0,0,0,0,1003,41,31,836,95,0,0,0,0,0,0,0,0,0,0,14,0,0
"CentreBack",NA,25,2189,188,84,7.07,14,0,2,12,0,0,0,0,10,2,8,10,16,92,54,38,43,64,21,40,8,21,3,1,0,148,13,9,10,0,0,0,0,913,32,39,777,65,5,1,4,2,0,0,1,0,0,1,8,0,0
"CentreBack",NA,9,483,188,84,6.57,1,0,0,1,0,0,0,0,2,0,2,1,5,22,12,10,5,7,2,2,0,2,0,0,0,24,3,0,1,0,0,0,0,344,10,10,305,19,1,0,1,0,0,0,0,0,0,0,0,0,0
"CentreForward",NA,20,1182,178,74,6.14,14,3,1,10,0,0,0,0,26,16,10,21,20,53,23,30,22,38,16,4,21,24,2,0,9,9,1,1,15,0,0,0,0,296,4,10,207,75,5,0,5,0,0,0,0,0,0,0,0,0,0
"CentreForward",NA,19,1338,178,74,6.46,12,1,3,8,1,0,1,0,26,13,13,24,30,52,17,35,30,41,11,2,32,20,1,0,5,7,1,2,13,0,0,0,0,339,4,10,221,104,10,2,8,1,0,0,0,0,0,1,2,0,0
"LeftWinger",NA,16,788,176,77,6.55,15,8,0,7,2,0,0,2,39,24,15,15,20,10,4,6,26,35,9,10,15,17,2,0,1,3,0,0,14,0,0,0,0,275,2,4,217,52,11,2,9,0,0,0,0,0,0,0,0,0,0
"AttackingMidfield",NA,1,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CentreForward",NA,1,13,180,72,6.26,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LeftMidfield",NA,8,305,167,60,6.4,8,5,0,3,0,0,0,0,14,9,5,7,5,4,2,2,3,11,8,4,8,4,2,0,0,3,0,2,6,0,0,0,0,167,5,2,144,16,10,1,9,0,0,0,0,0,0,0,2,0,0
"LeftBack",NA,10,660,176,63,6.59,5,3,0,2,0,0,0,0,14,4,10,8,9,14,5,9,14,18,4,8,6,8,0,0,0,8,1,6,10,0,0,0,0,436,6,8,386,36,5,2,3,0,0,0,0,0,0,0,3,1,0
"LeftBack",NA,5,279,176,63,6.64,2,0,0,2,0,0,0,0,8,3,5,4,2,4,3,1,6,6,0,2,5,3,0,0,0,9,0,1,2,0,0,0,0,131,4,5,101,21,1,1,0,1,1,0,0,0,0,0,0,0,0
"LeftBack",NA,2,89,176,63,6.63,0,0,0,0,0,0,0,0,2,2,0,2,0,3,3,0,3,5,2,1,0,3,0,0,0,6,0,0,0,0,0,0,0,56,3,7,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"LeftBack",NA,15,1026,176,63,6.71,13,5,1,7,0,0,0,0,16,4,12,16,8,28,17,11,23,28,5,18,16,4,3,0,2,14,1,5,12,0,0,0,0,718,22,19,589,88,19,5,14,0,0,0,0,0,0,0,0,0,0
"CentralMidfield",NA,1,59,170,61,6.01,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,24,2,1,19,2,1,0,1,0,0,0,0,0,0,0,0,0,0
"CentralMidfield",NA,1,37,170,61,6.46,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"RightBack",NA,17,1017,184,83,6.3,4,1,0,3,0,0,0,0,6,2,4,8,3,17,8,9,18,29,11,8,7,4,0,0,0,40,8,5,3,0,0,0,0,329,10,20,244,55,1,0,1,1,0,0,0,0,0,1,0,0,0
"RightBack",NA,16,1290,184,83,6.47,7,4,0,3,1,0,0,1,4,1,3,9,4,45,26,19,19,32,13,15,9,12,4,0,1,46,9,6,6,0,0,0,0,455,19,40,322,74,6,3,3,0,0,0,0,0,0,0,0,0,0
"AttackingMidfield",NA,2,97,182,79,6.3,0,0,0,0,0,0,0,0,3,1,2,4,1,0,0,0,1,3,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,35,0,1,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"AttackingMidfield",NA,20,1448,182,79,6.77,13,4,0,9,2,0,0,2,30,20,10,38,7,14,4,10,14,25,11,10,20,5,0,0,4,9,1,3,14,0,0,0,0,725,11,7,632,75,27,0,27,4,0,0,0,0,0,4,12,2,0
"RightWinger",NA,36,2465,172,72,7.08,40,26,0,14,1,0,0,1,142,40,102,82,80,80,29,51,82,162,80,23,54,36,6,1,2,24,5,8,53,0,0,0,0,1407,90,43,1035,239,83,19,64,7,1,1,3,0,0,3,40,11,0
"Goalkeeper",NA,2,180,195,88,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,3,2,43,6,11,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goalkeeper",NA,9,770,195,88,7.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,33,1,21,11,245,33,76,132,4,0,0,0,0,0,0,0,0,0,0,2,0,0
"Goalkeeper",NA,4,301,195,88,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,0,4,81,22,37,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Goalkeeper",NA,38,3420,195,88,7,0,0,0,0,0,0,0,0,0,0,0,1,0,13,11,2,3,4,1,2,8,1,1,0,0,14,0,0,0,141,8,73,60,1134,265,421,444,4,2,2,0,0,0,0,0,0,0,0,4,0,0
"RightBack",NA,4,322,182,75,6.62,2,0,0,2,0,0,0,0,5,4,1,2,3,9,6,3,3,4,1,6,4,4,0,0,0,17,1,1,3,0,0,0,0,156,7,9,122,18,2,0,2,0,0,0,0,0,0,0,0,0,0
"CentreForward",NA,13,814,191,82,6.63,19,4,3,12,2,0,1,1,19,10,9,25,20,50,24,26,5,8,3,3,6,13,1,0,11,3,1,0,4,0,0,0,0,277,5,3,208,61,12,0,12,1,0,0,0,0,0,1,0,1,0
"CentreForward",NA,12,618,191,82,6.24,12,1,4,7,1,0,0,1,10,5,5,19,26,63,20,43,2,5,3,1,5,10,1,0,11,7,0,0,3,0,0,0,0,230,7,2,168,53,6,1,5,1,0,0,0,0,0,1,0,0,0
"CentreForward",NA,13,510,182,82,6.27,10,2,2,6,0,0,0,0,18,7,11,21,13,39,10,29,5,7,2,1,7,5,0,0,7,4,1,0,1,0,0,0,0,142,2,0,106,34,7,0,7,0,0,0,0,0,0,0,0,0,0
"CentreForward",NA,5,49,178,75,6.04,0,0,0,0,0,0,0,0,3,3,0,1,2,3,0,3,1,1,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,14,0,0,9,5,1,0,1,0,0,0,0,0,0,0,0,0,0
"CentreForward",NA,3,64,182,76,6.05,3,0,0,3,0,0,0,0,1,0,1,3,2,10,1,9,3,4,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,19,0,0,18,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"CentreForward",NA,23,1215,182,76,6.21,32,6,3,23,1,0,0,1,23,15,8,36,38,130,31,99,9,13,4,5,15,15,0,0,2,4,0,1,8,0,0,0,0,377,1,1,294,81,15,0,15,1,0,0,0,0,0,1,0,0,0
"DefensiveMidfield",NA,27,2067,184,82,7.05,15,11,0,4,1,1,0,0,46,12,34,16,18,72,42,30,78,102,24,38,19,29,2,1,0,78,5,9,18,0,0,0,0,1281,74,82,992,133,12,1,11,0,0,0,0,0,0,0,5,5,0
"DefensiveMidfield",NA,26,2094,184,82,7.28,27,18,2,7,3,1,1,1,32,8,24,30,15,95,46,49,67,92,25,28,27,27,8,0,0,32,4,5,28,0,0,0,0,1543,76,63,1244,160,25,4,21,4,0,0,1,0,0,3,36,10,0
"DefensiveMidfield",NA,32,2368,184,82,7.05,45,23,1,21,5,2,0,3,37,16,21,32,24,125,68,57,66,97,31,32,30,70,6,0,2,52,3,7,31,0,0,0,0,1659,104,72,1249,234,33,3,30,2,0,0,0,0,0,2,3,0,0
"DefensiveMidfield",NA,30,2493,184,82,7.05,30,20,0,10,1,1,0,0,57,18,39,30,40,85,45,40,79,119,40,62,31,36,9,0,5,43,9,6,33,0,0,0,0,1794,111,84,1347,252,32,2,30,0,0,0,0,0,0,0,3,3,0
"LeftBack",NA,30,2700,183,78,6.39,16,4,0,12,0,0,0,0,35,15,20,45,29,68,35,33,59,84,25,22,10,33,6,0,3,75,12,6,29,0,0,0,0,1185,57,90,869,169,17,1,16,1,0,0,0,0,0,1,6,0,0
"LeftBack",NA,38,3347,183,78,6.82,22,5,0,17,2,0,0,2,84,23,61,54,43,63,31,32,81,135,54,35,19,39,7,0,2,59,8,12,19,0,0,0,0,1469,70,118,1030,251,34,6,28,4,1,0,0,0,0,3,4,0,0
"CentreForward",NA,32,2107,174,74,6.7,72,29,11,32,4,2,0,2,104,65,39,67,56,113,40,73,30,57,27,16,45,36,2,0,30,6,5,7,21,0,0,0,0,435,11,4,322,98,18,2,16,3,0,0,0,0,0,3,19,0,0
"CentreForward",NA,19,1010,174,74,6.75,34,13,3,18,4,1,0,3,45,30,15,37,27,65,24,41,20,31,11,10,22,11,1,0,9,16,2,3,12,0,0,0,0,250,2,9,187,52,12,1,11,2,1,0,0,0,0,1,0,0,0
"CentreForward",NA,21,708,174,74,6.53,24,7,3,14,3,0,1,2,33,14,19,31,14,53,16,37,15,29,14,7,14,17,1,0,4,9,1,0,9,0,0,0,0,198,9,4,148,37,7,1,6,1,0,0,1,0,0,0,0,0,0
"CentreForward",NA,3,213,174,74,6.29,7,2,1,4,0,0,0,0,4,4,0,5,4,17,2,15,1,5,4,4,3,9,0,0,2,3,0,0,4,0,0,0,0,30,2,1,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"CentreBack",NA,25,2060,187,77,7.23,6,1,0,5,0,0,0,0,17,3,14,15,7,67,37,30,60,72,12,60,25,28,4,0,0,126,16,5,9,0,0,0,0,876,59,63,690,64,1,0,1,0,0,0,0,0,0,0,25,0,0
"CentreBack",NA,4,148,187,77,6.44,0,0,0,0,0,0,0,0,1,0,1,1,1,8,8,0,0,1,1,4,0,2,0,0,0,7,3,0,0,0,0,0,0,78,4,2,66,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"CentreBack",NA,12,639,187,77,6.37,3,0,0,3,0,0,0,0,5,1,4,5,1,17,13,4,15,17,2,13,5,5,0,1,0,37,4,2,5,0,0,0,0,302,19,17,244,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"CentreBack",NA,12,915,187,77,6.41,2,0,0,2,0,0,0,0,4,0,4,7,0,41,24,17,5,6,1,13,4,10,3,0,0,36,11,0,2,0,0,0,0,562,20,23,476,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"CentreBack",NA,13,1000,187,77,7.03,3,0,2,1,1,0,1,0,4,0,4,1,5,25,17,8,17,24,7,25,9,10,2,0,0,56,6,2,5,0,0,0,0,426,18,29,349,30,2,2,0,0,0,0,0,0,0,0,0,1,0
"CentreBack",NA,36,3045,188,88,6.93,23,8,2,13,2,0,0,2,8,4,4,12,15,128,73,55,48,67,19,35,18,24,6,0,3,149,17,4,18,0,0,0,0,1981,187,88,1531,175,14,5,9,0,0,0,0,0,0,0,0,0,0
"CentreBack",NA,37,3268,188,88,7.06,30,17,2,11,3,1,1,1,14,6,8,15,28,155,87,68,79,112,33,80,24,52,10,0,0,70,21,6,32,0,0,0,0,2084,120,104,1616,244,18,3,15,2,0,0,0,0,0,2,4,0,0
"CentreBack",NA,34,2827,188,88,6.96,32,15,1,16,0,0,0,0,15,2,13,11,17,145,83,62,61,86,25,48,8,23,4,0,1,82,11,11,21,0,0,0,0,2248,164,97,1775,212,15,6,9,2,1,0,1,0,0,0,37,0,0
"CentreBack",NA,19,1342,188,88,6.71,8,2,1,5,0,0,0,0,4,0,4,5,4,108,66,42,21,31,10,21,4,19,5,0,1,61,9,4,5,0,0,0,0,914,47,65,691,111,7,0,7,2,0,0,0,0,0,2,2,0,0
"CentreBack",NA,20,1510,188,88,6.74,9,2,2,5,3,0,1,2,7,5,2,12,9,67,36,31,26,54,28,21,9,24,4,0,0,42,12,4,15,0,0,0,0,1083,45,42,874,122,8,1,7,0,0,0,0,0,0,0,0,0,0
"CentreBack",NA,28,2291,188,88,6.93,12,2,3,7,2,0,1,1,34,12,22,19,10,108,66,42,49,66,17,48,11,21,4,0,1,113,11,26,16,0,0,0,0,1230,71,86,902,171,14,6,8,2,1,0,0,0,0,1,3,3,0
"CentreBack",NA,28,2520,188,88,6.66,14,9,2,3,0,0,0,0,4,1,3,12,1,145,86,59,23,30,7,23,12,16,3,0,0,122,31,1,6,0,0,0,0,1789,111,150,1377,151,6,0,6,0,0,0,0,0,0,0,6,3,0
"CentreBack",NA,13,791,182,76,6.69,2,0,1,1,0,0,0,0,8,2,6,1,0,31,11,20,6,10,4,18,2,9,1,0,0,31,0,2,2,0,0,0,0,728,26,17,652,33,2,1,1,0,0,0,0,0,0,0,0,0,0
"CentreBack",NA,6,382,182,76,6.15,2,1,0,1,0,0,0,0,0,0,0,4,0,11,3,8,8,10,2,4,2,4,0,0,0,10,1,0,3,0,0,0,0,339,10,8,313,8,1,0,1,0,0,0,0,0,0,0,0,0,0
"CentreForward",NA,30,2248,191,82,6.93,60,17,6,37,5,0,2,3,106,45,61,75,56,135,61,74,42,65,23,23,24,21,3,0,14,25,2,4,28,0,0,0,0,641,17,15,451,158,20,0,20,5,0,0,1,0,0,4,3,0,0
"RightBack",NA,28,2054,183,72,6.33,10,5,0,5,0,0,0,0,21,9,12,33,14,58,22,36,35,54,19,41,22,13,0,0,1,37,6,5,20,0,0,0,0,775,35,81,500,159,11,2,9,1,0,0,0,0,0,1,0,0,0
"RightWinger",NA,9,593,181,79,6.99,18,7,0,11,1,0,0,1,22,7,15,13,21,9,3,6,13,26,13,5,11,13,1,0,1,1,0,2,17,0,0,0,0,305,11,2,233,59,18,8,10,1,0,0,0,0,0,1,0,0,0
"RightWinger",NA,25,1212,181,79,6.64,29,16,2,11,2,1,0,1,44,14,30,26,42,24,6,18,24,43,19,8,26,30,3,0,1,9,3,1,9,0,0,0,0,541,17,4,436,84,18,1,17,1,1,1,0,0,0,0,0,0,0
"RightWinger",NA,25,832,181,79,6.52,20,3,3,14,2,0,1,1,36,13,23,24,19,20,6,14,23,40,17,7,16,24,4,0,3,4,1,1,10,0,0,0,0,446,12,8,357,69,16,3,13,2,0,0,1,0,0,1,2,0,0
"RightWinger",NA,19,973,181,79,6.77,29,9,1,19,4,0,0,4,34,14,20,29,20,19,4,15,17,26,9,7,18,23,2,0,1,1,0,0,14,0,0,0,0,422,8,3,343,68,23,5,18,2,0,0,1,0,0,1,4,0,0
"RightWinger",NA,33,2302,181,79,7.07,38,24,0,14,2,1,0,1,101,46,55,53,77,45,6,39,78,110,32,43,48,50,6,0,6,11,1,0,32,0,0,0,0,1132,22,17,915,178,60,7,53,7,3,2,2,0,0,2,3,3,0
"RightWinger",NA,34,2385,181,79,7.15,58,11,1,46,5,1,1,3,69,29,40,63,71,39,12,27,80,132,52,27,35,66,9,0,14,5,2,4,42,0,0,0,0,985,19,9,755,202,75,14,61,9,2,0,4,68,0,3,3,0,1
"RightWinger",NA,23,708,181,79,6.36,21,12,0,9,1,0,0,1,40,15,25,20,13,18,6,12,17,30,13,6,10,24,4,1,0,1,1,1,10,0,0,0,0,338,8,3,273,54,9,3,6,0,0,0,0,0,0,0,0,0,0
"LeftBack",NA,24,1880,183,84,6.65,14,7,0,7,0,0,0,0,12,8,4,24,6,51,33,18,54,95,41,28,20,21,2,0,0,48,4,12,26,0,0,0,0,745,29,68,508,140,18,6,12,4,2,0,1,0,0,1,12,0,0
"LeftBack",NA,36,3151,183,84,6.88,9,5,1,3,0,0,0,0,20,5,15,26,21,93,54,39,106,138,32,54,58,60,4,0,1,110,20,29,40,0,0,0,0,1331,58,110,951,212,18,3,15,1,1,0,0,0,0,0,22,0,0
"LeftBack",NA,20,1262,183,84,6.44,4,2,0,2,0,0,0,0,10,4,6,12,10,22,13,9,30,50,20,12,21,26,1,0,1,27,9,7,21,0,0,0,0,472,27,55,324,66,5,0,5,1,0,0,0,0,0,1,2,0,0
"LeftBack",NA,31,2564,183,84,7.02,8,5,0,3,0,0,0,0,24,11,13,24,14,93,59,34,72,108,36,59,36,45,8,0,0,136,9,24,28,0,0,0,0,1080,59,62,813,146,17,8,9,2,0,0,0,0,0,2,16,0,0
"LeftBack",NA,31,2720,183,84,6.73,3,1,0,2,0,0,0,0,18,9,9,28,19,99,53,46,71,98,27,61,29,58,5,0,2,105,25,21,45,0,0,0,0,998,53,96,663,186,13,0,13,1,0,0,0,0,0,1,0,0,0
"LeftBack",NA,35,3098,183,84,6.97,5,3,0,2,0,0,0,0,16,8,8,29,14,92,48,44,116,153,37,96,50,59,10,0,0,93,18,26,39,0,0,0,0,1504,60,112,1109,223,19,4,15,1,1,0,0,0,0,0,4,4,0
"DefensiveMidfield",NA,31,2423,177,78,6.97,29,15,1,13,5,2,0,3,20,6,14,14,14,69,37,32,70,115,45,64,15,19,1,0,0,31,8,4,43,0,0,0,0,1119,72,88,752,207,37,10,27,1,0,0,0,0,0,1,19,3,0
"CentreBack",NA,25,2091,183,78,6.7,7,4,1,2,0,0,0,0,15,2,13,16,5,81,52,29,57,83,26,49,25,25,3,0,1,83,19,4,21,0,0,0,0,1006,56,58,772,120,11,5,6,0,0,0,0,0,0,0,18,0,1
"CentreBack",NA,1,10,183,78,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DefensiveMidfield",NA,33,2947,189,80,7.13,18,15,2,1,1,1,0,0,42,10,32,18,20,115,66,49,91,145,54,85,58,47,14,1,0,92,13,4,37,0,0,0,0,1749,115,81,1361,192,10,0,10,3,0,0,1,0,0,2,3,3,0
"DefensiveMidfield",NA,12,901,189,80,6.92,7,7,0,0,0,0,0,0,12,7,5,1,8,15,10,5,29,40,11,33,10,23,2,0,0,27,3,2,3,0,0,0,0,714,76,31,548,59,4,2,2,0,0,0,0,0,0,0,4,0,0
"DefensiveMidfield",NA,30,2632,189,80,6.91,19,17,0,2,0,0,0,0,40,17,23,18,26,68,49,19,75,123,48,68,39,57,8,0,0,56,11,5,19,0,0,0,0,1434,112,90,1054,178,20,7,13,3,1,0,0,30,0,2,18,0,0
"DefensiveMidfield",NA,23,1542,189,80,6.74,23,21,1,1,1,1,0,0,23,10,13,8,18,65,42,23,43,71,28,43,16,21,3,0,1,35,1,3,20,0,0,0,0,875,62,48,659,106,8,1,7,0,0,0,0,0,0,0,18,0,0
"DefensiveMidfield",NA,37,3213,189,80,6.85,50,26,1,23,7,0,0,7,65,31,34,39,37,68,33,35,61,105,44,59,46,51,5,0,1,25,7,6,34,0,0,0,0,1483,89,56,1140,198,37,19,18,1,0,0,0,0,0,1,33,0,0
"DefensiveMidfield",NA,33,2822,189,80,7.01,35,24,2,9,0,0,0,0,87,38,49,44,45,61,37,24,95,136,41,81,55,53,7,0,2,46,7,5,39,0,0,0,0,1544,111,90,1112,231,24,5,19,1,0,0,0,0,0,1,26,3,0
"CentralMidfield",NA,16,752,168,84,6.13,6,2,0,4,0,0,0,0,18,7,11,8,8,9,3,6,9,19,10,8,7,6,2,0,1,13,2,0,8,0,0,0,0,379,31,17,261,70,7,1,6,1,0,0,0,0,0,1,0,0,0
"AttackingMidfield",NA,11,578,179,70,6.38,3,2,0,1,0,0,0,0,9,5,4,11,8,16,5,11,17,29,12,4,20,14,1,0,0,1,0,0,9,0,0,0,0,279,8,8,220,43,11,6,5,0,0,0,0,0,0,0,2,0,0
"LeftBack",NA,8,183,185,75,6.23,0,0,0,0,0,0,0,0,3,2,1,2,3,3,0,3,2,4,2,1,2,4,0,0,0,5,1,0,7,0,0,0,0,70,5,7,45,13,2,1,1,1,1,0,0,0,0,0,8,0,0
"LeftBack",NA,1,3,185,75,5.97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RightBack",NA,9,363,187,77,6.24,4,0,0,4,0,0,0,0,8,3,5,13,6,8,6,2,4,10,6,7,4,7,2,0,1,13,0,1,3,0,0,0,0,121,3,5,80,33,0,0,0,0,0,0,0,0,0,0,1,0,0
"RightBack",NA,20,1316,187,77,6.39,6,4,0,2,0,0,0,0,26,10,16,14,12,47,28,19,21,36,15,19,11,8,3,0,0,51,3,7,4,0,0,0,0,455,32,36,312,75,5,2,3,0,0,0,0,0,0,0,0,0,0
"LeftBack",NA,36,2466,173,63,6.62,25,11,0,14,2,0,0,2,26,15,11,37,15,84,40,44,74,116,42,23,44,39,7,0,6,40,2,10,15,0,0,0,0,1377,30,63,1065,219,28,3,25,3,0,0,1,0,0,2,0,0,0
"CentreBack",NA,36,3193,183,77,6.75,22,1,4,17,2,0,1,1,6,0,6,18,7,152,96,56,25,29,4,29,54,19,3,0,1,158,47,4,6,0,0,0,0,1287,76,90,1014,107,2,0,2,0,0,0,0,0,0,0,29,0,0
"CentreBack",NA,25,2044,183,77,6.47,11,1,1,9,1,0,0,1,10,3,7,8,5,95,49,46,18,27,9,25,32,17,3,0,1,66,24,4,10,0,0,0,0,772,34,81,568,89,11,4,7,2,0,0,0,0,0,2,0,0,0
"CentreBack",NA,23,2014,188,82,6.98,19,0,3,16,1,0,1,0,1,0,1,4,2,132,70,62,40,66,26,53,4,19,2,0,0,172,14,3,8,0,0,0,0,832,51,78,610,93,3,0,3,0,0,0,0,0,0,0,21,7,0
"CentreBack",NA,14,1198,188,82,6.71,8,0,1,7,1,0,0,1,2,1,1,3,0,38,21,17,24,33,9,25,3,12,1,1,0,62,6,1,17,0,0,0,0,482,43,66,319,54,0,0,0,0,0,0,0,0,0,0,6,0,0
"CentreBack",NA,17,1176,188,82,6.51,10,0,2,8,1,0,1,0,2,0,2,6,1,91,54,37,17,33,16,26,2,6,2,0,0,71,5,4,10,0,0,0,0,503,35,76,325,67,1,0,1,0,0,0,0,0,0,0,0,0,0
"CentralMidfield",NA,11,725,174,60,6.82,4,4,0,0,0,0,0,0,9,1,8,10,1,23,9,14,23,34,11,13,7,6,1,1,0,17,0,2,3,0,0,0,0,692,26,20,606,40,3,1,2,1,1,0,0,0,0,0,0,0,0
"CentralMidfield",NA,16,1190,174,60,6.49,3,3,0,0,0,0,0,0,26,5,21,17,6,24,15,9,26,39,13,15,7,18,3,1,0,16,3,3,9,0,0,0,0,781,58,44,618,61,7,0,7,0,0,0,0,0,0,0,0,0,0
"CentralMidfield",NA,28,2434,174,60,7.08,42,37,0,5,0,0,0,0,74,13,61,30,44,49,20,29,59,90,31,38,45,13,1,1,1,29,9,9,30,0,0,0,0,1673,146,87,1280,160,36,9,27,3,2,0,0,0,0,1,8,0,0
"CentralMidfield",NA,22,1746,174,60,7.16,10,10,0,0,1,1,0,0,32,2,30,20,10,52,21,31,46,65,19,30,18,15,2,0,0,35,0,7,16,0,0,0,0,1614,52,29,1449,84,11,3,8,2,0,0,0,0,0,2,7,0,1
"CentralMidfield",NA,7,220,174,60,6.56,6,5,0,1,1,0,0,1,3,1,2,3,2,7,4,3,7,10,3,7,5,6,1,0,0,4,1,0,2,0,0,0,0,225,3,4,207,11,2,0,2,0,0,0,0,0,0,0,2,0,0
"CentralMidfield",NA,8,261,174,60,6.29,1,1,0,0,0,0,0,0,10,3,7,4,0,0,0,0,5,7,2,4,7,3,1,0,0,7,0,1,2,0,0,0,0,217,8,7,187,15,2,0,2,0,0,0,0,0,0,0,0,0,0
"CentralMidfield",NA,17,756,174,60,6.75,13,12,0,1,2,2,0,0,31,7,24,11,17,15,6,9,26,39,13,22,9,7,0,0,0,8,2,2,14,0,0,0,0,483,10,19,404,50,2,0,2,0,0,0,0,0,0,0,0,0,0
"CentreBack",NA,22,1634,188,84,6.75,20,10,0,10,2,0,0,2,24,8,16,14,5,68,34,34,39,60,21,47,25,29,5,0,2,72,18,2,17,0,0,0,0,761,94,113,475,79,4,1,3,0,0,0,0,0,0,0,4,0,0
"CentreBack",NA,24,2004,188,84,7.3,25,9,2,14,4,1,1,2,22,8,14,11,10,130,65,65,60,86,26,67,19,28,12,0,1,137,16,8,24,0,0,0,0,994,134,195,543,122,11,5,6,1,0,0,0,0,0,1,46,0,0
"CentreBack",NA,18,1247,188,84,6.39,12,8,0,4,1,0,0,1,14,7,7,4,5,41,16,25,13,25,12,27,15,22,4,1,1,51,12,1,7,0,0,0,0,581,63,85,385,48,0,0,0,0,0,0,0,0,0,0,4,0,0
"DefensiveMidfield",NA,28,2075,188,78,6.89,12,11,0,1,2,2,0,0,12,3,9,15,8,70,42,28,62,103,41,34,20,32,6,0,0,16,2,3,23,0,0,0,0,1578,80,59,1293,146,19,5,14,3,0,0,1,0,0,2,6,0,0
"DefensiveMidfield",NA,30,2565,188,78,6.82,10,5,0,5,0,0,0,0,11,4,7,17,7,106,54,52,58,85,27,44,27,29,6,0,0,65,10,1,18,0,0,0,0,2108,98,83,1806,121,4,1,3,0,0,0,0,0,0,0,6,3,0
"DefensiveMidfield",NA,28,2013,188,78,6.95,17,13,1,3,1,0,1,0,16,6,10,10,16,96,56,40,59,94,35,28,30,29,6,0,0,26,6,1,28,0,0,0,0,1610,72,74,1302,162,16,3,13,2,0,0,1,0,0,1,0,0,0
"RightBack",NA,24,1849,172,74,6.83,5,4,0,1,0,0,0,0,31,13,18,13,15,82,43,39,63,80,17,35,20,29,8,0,4,67,7,12,20,0,0,0,0,710,25,64,479,142,16,5,11,0,0,0,0,0,0,0,7,2,0
"LeftWinger",NA,12,394,180,73,6.16,14,2,1,11,1,0,1,0,6,3,3,11,11,24,4,20,2,4,2,5,8,9,1,1,3,0,0,0,0,0,0,0,0,113,3,1,83,26,8,0,8,1,0,0,0,0,0,1,0,0,0
"LeftWinger",NA,26,1899,180,73,6.7,48,17,2,29,5,0,2,3,54,30,24,47,43,78,25,53,24,56,32,22,50,31,6,0,2,30,2,5,28,0,0,0,0,550,28,29,366,127,18,0,18,2,1,0,1,0,0,0,26,26,0
